@relation ThresholdCurve

@attribute Instance_number numeric
@attribute 'True Positives' numeric
@attribute 'False Negatives' numeric
@attribute 'False Positives' numeric
@attribute 'True Negatives' numeric
@attribute 'False Positive Rate' numeric
@attribute 'True Positive Rate' numeric
@attribute Precision numeric
@attribute Recall numeric
@attribute Fallout numeric
@attribute FMeasure numeric
@attribute 'Sample Size' numeric
@attribute Lift numeric
@attribute Threshold numeric

@data
124,9,0,81,124,0.395122,1,0.1,1,0.9,0.181818,0.420561,2.377778,0
125,9,0,80,125,0.390244,1,0.101124,1,0.898876,0.183673,0.415888,2.404494,0
126,9,0,79,126,0.385366,1,0.102273,1,0.897727,0.185567,0.411215,2.431818,0
127,9,0,78,127,0.380488,1,0.103448,1,0.896552,0.1875,0.406542,2.45977,0
128,9,0,77,128,0.37561,1,0.104651,1,0.895349,0.189474,0.401869,2.488372,0
129,9,0,76,129,0.370732,1,0.105882,1,0.894118,0.191489,0.397196,2.517647,0
130,9,0,75,130,0.365854,1,0.107143,1,0.892857,0.193548,0.392523,2.547619,0
131,9,0,74,131,0.360976,1,0.108434,1,0.891566,0.195652,0.38785,2.578313,0
132,9,0,73,132,0.356098,1,0.109756,1,0.890244,0.197802,0.383178,2.609756,0
133,9,0,72,133,0.35122,1,0.111111,1,0.888889,0.2,0.378505,2.641975,0
134,9,0,71,134,0.346341,1,0.1125,1,0.8875,0.202247,0.373832,2.675,0
135,9,0,70,135,0.341463,1,0.113924,1,0.886076,0.204545,0.369159,2.708861,0
136,9,0,69,136,0.336585,1,0.115385,1,0.884615,0.206897,0.364486,2.74359,0
137,9,0,68,137,0.331707,1,0.116883,1,0.883117,0.209302,0.359813,2.779221,0
138,9,0,67,138,0.326829,1,0.118421,1,0.881579,0.211765,0.35514,2.815789,0
139,9,0,66,139,0.321951,1,0.12,1,0.88,0.214286,0.350467,2.853333,0
140,9,0,65,140,0.317073,1,0.121622,1,0.878378,0.216867,0.345794,2.891892,0
141,9,0,64,141,0.312195,1,0.123288,1,0.876712,0.219512,0.341121,2.931507,0
142,9,0,63,142,0.307317,1,0.125,1,0.875,0.222222,0.336449,2.972222,0
143,9,0,62,143,0.302439,1,0.126761,1,0.873239,0.225,0.331776,3.014085,0
144,9,0,61,144,0.297561,1,0.128571,1,0.871429,0.227848,0.327103,3.057143,0
145,9,0,60,145,0.292683,1,0.130435,1,0.869565,0.230769,0.32243,3.101449,0
146,9,0,59,146,0.287805,1,0.132353,1,0.867647,0.233766,0.317757,3.147059,0
147,9,0,58,147,0.282927,1,0.134328,1,0.865672,0.236842,0.313084,3.19403,0
148,9,0,57,148,0.278049,1,0.136364,1,0.863636,0.24,0.308411,3.242424,0
149,9,0,56,149,0.273171,1,0.138462,1,0.861538,0.243243,0.303738,3.292308,0
150,9,0,55,150,0.268293,1,0.140625,1,0.859375,0.246575,0.299065,3.34375,0
151,9,0,54,151,0.263415,1,0.142857,1,0.857143,0.25,0.294393,3.396825,0
152,9,0,53,152,0.258537,1,0.145161,1,0.854839,0.253521,0.28972,3.451613,0
153,9,0,52,153,0.253659,1,0.147541,1,0.852459,0.257143,0.285047,3.508197,0
154,9,0,51,154,0.24878,1,0.15,1,0.85,0.26087,0.280374,3.566667,0
155,9,0,50,155,0.243902,1,0.152542,1,0.847458,0.264706,0.275701,3.627119,0
156,9,0,49,156,0.239024,1,0.155172,1,0.844828,0.268657,0.271028,3.689655,0
157,9,0,48,157,0.234146,1,0.157895,1,0.842105,0.272727,0.266355,3.754386,0
158,9,0,47,158,0.229268,1,0.160714,1,0.839286,0.276923,0.261682,3.821429,0
159,9,0,46,159,0.22439,1,0.163636,1,0.836364,0.28125,0.257009,3.890909,0
160,9,0,45,160,0.219512,1,0.166667,1,0.833333,0.285714,0.252336,3.962963,0
161,9,0,44,161,0.214634,1,0.169811,1,0.830189,0.290323,0.247664,4.037736,0
162,9,0,43,162,0.209756,1,0.173077,1,0.826923,0.295082,0.242991,4.115385,0
163,9,0,42,163,0.204878,1,0.176471,1,0.823529,0.3,0.238318,4.196078,0
164,9,0,41,164,0.2,1,0.18,1,0.82,0.305085,0.233645,4.28,0
165,9,0,40,165,0.195122,1,0.183673,1,0.816327,0.310345,0.228972,4.367347,0
166,9,0,39,166,0.190244,1,0.1875,1,0.8125,0.315789,0.224299,4.458333,0
167,9,0,38,167,0.185366,1,0.191489,1,0.808511,0.321429,0.219626,4.553191,0
168,9,0,37,168,0.180488,1,0.195652,1,0.804348,0.327273,0.214953,4.652174,0
169,9,0,36,169,0.17561,1,0.2,1,0.8,0.333333,0.21028,4.755556,0
170,9,0,35,170,0.170732,1,0.204545,1,0.795455,0.339623,0.205607,4.863636,0
171,9,0,34,171,0.165854,1,0.209302,1,0.790698,0.346154,0.200935,4.976744,0
172,9,0,33,172,0.160976,1,0.214286,1,0.785714,0.352941,0.196262,5.095238,0
173,9,0,32,173,0.156098,1,0.219512,1,0.780488,0.36,0.191589,5.219512,0
174,9,0,31,174,0.15122,1,0.225,1,0.775,0.367347,0.186916,5.35,0
175,9,0,30,175,0.146341,1,0.230769,1,0.769231,0.375,0.182243,5.487179,0
176,9,0,29,176,0.141463,1,0.236842,1,0.763158,0.382979,0.17757,5.631579,0
177,9,0,28,177,0.136585,1,0.243243,1,0.756757,0.391304,0.172897,5.783784,0
178,9,0,27,178,0.131707,1,0.25,1,0.75,0.4,0.168224,5.944444,0
179,9,0,26,179,0.126829,1,0.257143,1,0.742857,0.409091,0.163551,6.114286,0
180,9,0,25,180,0.121951,1,0.264706,1,0.735294,0.418605,0.158879,6.294118,0
181,9,0,24,181,0.117073,1,0.272727,1,0.727273,0.428571,0.154206,6.484848,0
182,9,0,23,182,0.112195,1,0.28125,1,0.71875,0.439024,0.149533,6.6875,0
183,9,0,22,183,0.107317,1,0.290323,1,0.709677,0.45,0.14486,6.903226,0
184,9,0,21,184,0.102439,1,0.3,1,0.7,0.461538,0.140187,7.133333,0
185,9,0,20,185,0.097561,1,0.310345,1,0.689655,0.473684,0.135514,7.37931,0
186,8,1,20,185,0.097561,0.888889,0.285714,0.888889,0.714286,0.432432,0.130841,6.793651,0.000017
187,8,1,19,186,0.092683,0.888889,0.296296,0.888889,0.703704,0.444444,0.126168,7.045267,0.00005
188,8,1,18,187,0.087805,0.888889,0.307692,0.888889,0.692308,0.457143,0.121495,7.316239,0.000052
189,8,1,17,188,0.082927,0.888889,0.32,0.888889,0.68,0.470588,0.116822,7.608889,0.000114
190,8,1,16,189,0.078049,0.888889,0.333333,0.888889,0.666667,0.484848,0.11215,7.925926,0.000186
191,8,1,15,190,0.073171,0.888889,0.347826,0.888889,0.652174,0.5,0.107477,?,0.000798
192,8,1,14,191,0.068293,0.888889,0.363636,0.888889,0.636364,0.516129,0.102804,?,0.003181
193,8,1,13,192,0.063415,0.888889,0.380952,0.888889,0.619048,0.533333,0.098131,?,0.003507
194,8,1,12,193,0.058537,0.888889,0.4,0.888889,0.6,0.551724,0.093458,?,0.004117
195,8,1,11,194,0.053659,0.888889,0.421053,0.888889,0.578947,0.571429,0.088785,?,0.010463
196,8,1,10,195,0.04878,0.888889,0.444444,0.888889,0.555556,0.592593,0.084112,?,0.016914
197,8,1,9,196,0.043902,0.888889,0.470588,0.888889,0.529412,0.615385,0.079439,?,0.035633
198,8,1,8,197,0.039024,0.888889,0.5,0.888889,0.5,0.64,0.074766,?,0.08521
199,8,1,7,198,0.034146,0.888889,0.533333,0.888889,0.466667,0.666667,0.070093,?,0.307278
200,8,1,6,199,0.029268,0.888889,0.571429,0.888889,0.428571,0.695652,0.065421,?,0.464535
201,8,1,5,200,0.02439,0.888889,0.615385,0.888889,0.384615,0.727273,0.060748,?,0.964393
202,8,1,4,201,0.019512,0.888889,0.666667,0.888889,0.333333,0.761905,0.056075,?,0.969474
203,8,1,3,202,0.014634,0.888889,0.727273,0.888889,0.272727,0.8,0.051402,?,0.970851
204,8,1,2,203,0.009756,0.888889,0.8,0.888889,0.2,0.842105,0.046729,?,0.973183
205,8,1,1,204,0.004878,0.888889,0.888889,0.888889,0.111111,0.888889,0.042056,?,0.997995
206,7,2,1,204,0.004878,0.777778,0.875,0.777778,0.125,0.823529,0.037383,?,0.998169
207,6,3,1,204,0.004878,0.666667,0.857143,0.666667,0.142857,0.75,0.03271,?,0.998342
208,5,4,1,204,0.004878,0.555556,0.833333,0.555556,0.166667,0.666667,0.028037,?,0.99901
209,4,5,1,204,0.004878,0.444444,0.8,0.444444,0.2,0.571429,0.023364,?,0.999018
210,3,6,1,204,0.004878,0.333333,0.75,0.333333,0.25,0.461538,0.018692,?,0.999221
211,2,7,1,204,0.004878,0.222222,0.666667,0.222222,0.333333,0.333333,0.014019,?,0.999222
212,1,8,1,204,0.004878,0.111111,0.5,0.111111,0.5,0.181818,0.009346,?,0.999993
213,0,9,1,204,0.004878,0,0,0,1,0,0.004673,?,0.999994
