@relation ThresholdCurve

@attribute Instance_number numeric
@attribute 'True Positives' numeric
@attribute 'False Negatives' numeric
@attribute 'False Positives' numeric
@attribute 'True Negatives' numeric
@attribute 'False Positive Rate' numeric
@attribute 'True Positive Rate' numeric
@attribute Precision numeric
@attribute Recall numeric
@attribute Fallout numeric
@attribute FMeasure numeric
@attribute 'Sample Size' numeric
@attribute Lift numeric
@attribute Threshold numeric

@data
90,12,1,112,89,0.557214,0.923077,0.096774,0.923077,0.903226,0.175182,0.579439,1.593052,0.000001
91,12,1,111,90,0.552239,0.923077,0.097561,0.923077,0.902439,0.176471,0.574766,1.606004,0.000001
92,12,1,110,91,0.547264,0.923077,0.098361,0.923077,0.901639,0.177778,0.570093,1.619168,0.000001
93,12,1,109,92,0.542289,0.923077,0.099174,0.923077,0.900826,0.179104,0.565421,1.632549,0.000001
94,12,1,108,93,0.537313,0.923077,0.1,0.923077,0.9,0.180451,0.560748,1.646154,0.000001
95,12,1,107,94,0.532338,0.923077,0.10084,0.923077,0.89916,0.181818,0.556075,1.659987,0.000001
96,12,1,106,95,0.527363,0.923077,0.101695,0.923077,0.898305,0.183206,0.551402,1.674055,0.000001
97,12,1,105,96,0.522388,0.923077,0.102564,0.923077,0.897436,0.184615,0.546729,1.688363,0.000001
98,12,1,104,97,0.517413,0.923077,0.103448,0.923077,0.896552,0.186047,0.542056,1.702918,0.000001
99,12,1,103,98,0.512438,0.923077,0.104348,0.923077,0.895652,0.1875,0.537383,1.717726,0.000001
100,12,1,102,99,0.507463,0.923077,0.105263,0.923077,0.894737,0.188976,0.53271,1.732794,0.000001
101,12,1,101,100,0.502488,0.923077,0.106195,0.923077,0.893805,0.190476,0.528037,1.748128,0.000001
102,12,1,100,101,0.497512,0.923077,0.107143,0.923077,0.892857,0.192,0.523364,1.763736,0.000001
103,12,1,99,102,0.492537,0.923077,0.108108,0.923077,0.891892,0.193548,0.518692,1.779626,0.000002
104,12,1,98,103,0.487562,0.923077,0.109091,0.923077,0.890909,0.195122,0.514019,1.795804,0.000002
105,12,1,97,104,0.482587,0.923077,0.110092,0.923077,0.889908,0.196721,0.509346,1.812279,0.000002
106,12,1,96,105,0.477612,0.923077,0.111111,0.923077,0.888889,0.198347,0.504673,1.82906,0.000002
