@relation ThresholdCurve

@attribute Instance_number numeric
@attribute 'True Positives' numeric
@attribute 'False Negatives' numeric
@attribute 'False Positives' numeric
@attribute 'True Negatives' numeric
@attribute 'False Positive Rate' numeric
@attribute 'True Positive Rate' numeric
@attribute Precision numeric
@attribute Recall numeric
@attribute Fallout numeric
@attribute FMeasure numeric
@attribute 'Sample Size' numeric
@attribute Lift numeric
@attribute Threshold numeric

@data
122,42,28,50,94,0.347222,0.6,0.456522,0.6,0.543478,0.518519,0.429907,1.395652,0.581857
123,41,29,50,94,0.347222,0.585714,0.450549,0.585714,0.549451,0.509317,0.425234,1.377394,0.58265
124,40,30,50,94,0.347222,0.571429,0.444444,0.571429,0.555556,0.5,0.420561,1.35873,0.598508
125,40,30,49,95,0.340278,0.571429,0.449438,0.571429,0.550562,0.503145,0.415888,1.373997,0.602763
126,39,31,49,95,0.340278,0.557143,0.443182,0.557143,0.556818,0.493671,0.411215,1.35487,0.609083
127,39,31,48,96,0.333333,0.557143,0.448276,0.557143,0.551724,0.496815,0.406542,1.370443,0.621458
128,39,31,47,97,0.326389,0.557143,0.453488,0.557143,0.546512,0.5,0.401869,1.386379,0.625764
129,38,32,47,97,0.326389,0.542857,0.447059,0.542857,0.552941,0.490323,0.397196,1.366723,0.63017
130,37,33,47,97,0.326389,0.528571,0.440476,0.528571,0.559524,0.480519,0.392523,1.346599,0.636801
131,37,33,46,98,0.319444,0.528571,0.445783,0.528571,0.554217,0.48366,0.38785,1.362823,0.639748
132,37,33,45,99,0.3125,0.528571,0.45122,0.528571,0.54878,0.486842,0.383178,1.379443,0.639814
133,37,33,44,100,0.305556,0.528571,0.45679,0.528571,0.54321,0.490066,0.378505,1.396473,0.643292
134,36,34,44,100,0.305556,0.514286,0.45,0.514286,0.55,0.48,0.373832,1.375714,0.648977
135,36,34,43,101,0.298611,0.514286,0.455696,0.514286,0.544304,0.483221,0.369159,1.393128,0.652998
136,35,35,43,101,0.298611,0.5,0.448718,0.5,0.551282,0.472973,0.364486,1.371795,0.654534
137,35,35,42,102,0.291667,0.5,0.454545,0.5,0.545455,0.47619,0.359813,1.38961,0.662593
138,35,35,41,103,0.284722,0.5,0.460526,0.5,0.539474,0.479452,0.35514,1.407895,0.664734
139,35,35,40,104,0.277778,0.5,0.466667,0.5,0.533333,0.482759,0.350467,1.426667,0.672457
140,35,35,39,105,0.270833,0.5,0.472973,0.5,0.527027,0.486111,0.345794,1.445946,0.677276
141,34,36,39,105,0.270833,0.485714,0.465753,0.485714,0.534247,0.475524,0.341121,1.423875,0.682276
142,34,36,38,106,0.263889,0.485714,0.472222,0.485714,0.527778,0.478873,0.336449,1.443651,0.70156
143,33,37,38,106,0.263889,0.471429,0.464789,0.471429,0.535211,0.468085,0.331776,1.420926,0.706406
144,33,37,37,107,0.256944,0.471429,0.471429,0.471429,0.528571,0.471429,0.327103,1.441224,0.716022
145,33,37,36,108,0.25,0.471429,0.478261,0.471429,0.521739,0.47482,0.32243,1.462112,0.71911
146,32,38,36,108,0.25,0.457143,0.470588,0.457143,0.529412,0.463768,0.317757,1.438655,0.73056
147,31,39,36,108,0.25,0.442857,0.462687,0.442857,0.537313,0.452555,0.313084,1.414499,0.732432
148,30,40,36,108,0.25,0.428571,0.454545,0.428571,0.545455,0.441176,0.308411,1.38961,0.736421
149,30,40,35,109,0.243056,0.428571,0.461538,0.428571,0.538462,0.444444,0.303738,1.410989,0.736733
150,29,41,35,109,0.243056,0.414286,0.453125,0.414286,0.546875,0.432836,0.299065,1.385268,0.737936
151,28,42,35,109,0.243056,0.4,0.444444,0.4,0.555556,0.421053,0.294393,1.35873,0.743282
152,28,42,34,110,0.236111,0.4,0.451613,0.4,0.548387,0.424242,0.28972,1.380645,0.743419
153,28,42,33,111,0.229167,0.4,0.459016,0.4,0.540984,0.427481,0.285047,1.403279,0.743649
154,28,42,32,112,0.222222,0.4,0.466667,0.4,0.533333,0.430769,0.280374,1.426667,0.748243
155,27,43,32,112,0.222222,0.385714,0.457627,0.385714,0.542373,0.418605,0.275701,1.399031,0.750943
156,27,43,31,113,0.215278,0.385714,0.465517,0.385714,0.534483,0.421875,0.271028,1.423153,0.758049
157,26,44,31,113,0.215278,0.371429,0.45614,0.371429,0.54386,0.409449,0.266355,1.394486,0.763934
158,26,44,30,114,0.208333,0.371429,0.464286,0.371429,0.535714,0.412698,0.261682,1.419388,0.767316
159,25,45,30,114,0.208333,0.357143,0.454545,0.357143,0.545455,0.4,0.257009,1.38961,0.767321
160,25,45,29,115,0.201389,0.357143,0.462963,0.357143,0.537037,0.403226,0.252336,1.415344,0.771029
161,25,45,28,116,0.194444,0.357143,0.471698,0.357143,0.528302,0.406504,0.247664,1.442049,0.771453
162,25,45,27,117,0.1875,0.357143,0.480769,0.357143,0.519231,0.409836,0.242991,1.46978,0.778497
163,25,45,26,118,0.180556,0.357143,0.490196,0.357143,0.509804,0.413223,0.238318,1.498599,0.782252
164,24,46,26,118,0.180556,0.342857,0.48,0.342857,0.52,0.4,0.233645,1.467429,0.783974
165,24,46,25,119,0.173611,0.342857,0.489796,0.342857,0.510204,0.403361,0.228972,1.497376,0.784536
166,23,47,25,119,0.173611,0.328571,0.479167,0.328571,0.520833,0.389831,0.224299,1.464881,0.790117
167,22,48,25,119,0.173611,0.314286,0.468085,0.314286,0.531915,0.376068,0.219626,1.431003,0.791965
168,22,48,24,120,0.166667,0.314286,0.478261,0.314286,0.521739,0.37931,0.214953,1.462112,0.797538
169,22,48,23,121,0.159722,0.314286,0.488889,0.314286,0.511111,0.382609,0.21028,1.494603,0.810629
170,22,48,22,122,0.152778,0.314286,0.5,0.314286,0.5,0.385965,0.205607,1.528571,0.818193
171,21,49,22,122,0.152778,0.3,0.488372,0.3,0.511628,0.371681,0.200935,1.493023,0.820591
172,21,49,21,123,0.145833,0.3,0.5,0.3,0.5,0.375,0.196262,1.528571,0.820879
173,21,49,20,124,0.138889,0.3,0.512195,0.3,0.487805,0.378378,0.191589,1.565854,0.823165
174,20,50,20,124,0.138889,0.285714,0.5,0.285714,0.5,0.363636,0.186916,1.528571,0.823381
175,19,51,20,124,0.138889,0.271429,0.487179,0.271429,0.512821,0.348624,0.182243,1.489377,0.824494
176,19,51,19,125,0.131944,0.271429,0.5,0.271429,0.5,0.351852,0.17757,1.528571,0.830401
177,18,52,19,125,0.131944,0.257143,0.486486,0.257143,0.513514,0.336449,0.172897,1.487259,0.83573
178,18,52,18,126,0.125,0.257143,0.5,0.257143,0.5,0.339623,0.168224,1.528571,0.836994
179,17,53,18,126,0.125,0.242857,0.485714,0.242857,0.514286,0.32381,0.163551,1.484898,0.837552
180,17,53,17,127,0.118056,0.242857,0.5,0.242857,0.5,0.326923,0.158879,1.528571,0.839739
181,16,54,17,127,0.118056,0.228571,0.484848,0.228571,0.515152,0.31068,0.154206,1.482251,0.843746
182,15,55,17,127,0.118056,0.214286,0.46875,0.214286,0.53125,0.294118,0.149533,1.433036,0.848916
183,14,56,17,127,0.118056,0.2,0.451613,0.2,0.548387,0.277228,0.14486,1.380645,0.850495
184,14,56,16,128,0.111111,0.2,0.466667,0.2,0.533333,0.28,0.140187,1.426667,0.860242
185,13,57,16,128,0.111111,0.185714,0.448276,0.185714,0.551724,0.262626,0.135514,1.370443,0.860551
186,12,58,16,128,0.111111,0.171429,0.428571,0.171429,0.571429,0.244898,0.130841,1.310204,0.867861
187,11,59,16,128,0.111111,0.157143,0.407407,0.157143,0.592593,0.226804,0.126168,1.245503,0.868017
188,11,59,15,129,0.104167,0.157143,0.423077,0.157143,0.576923,0.229167,0.121495,1.293407,0.871806
189,10,60,15,129,0.104167,0.142857,0.4,0.142857,0.6,0.210526,0.116822,1.222857,0.874005
190,9,61,15,129,0.104167,0.128571,0.375,0.128571,0.625,0.191489,0.11215,1.146429,0.881846
191,9,61,14,130,0.097222,0.128571,0.391304,0.128571,0.608696,0.193548,0.107477,1.196273,0.884143
192,9,61,13,131,0.090278,0.128571,0.409091,0.128571,0.590909,0.195652,0.102804,1.250649,0.885071
193,8,62,13,131,0.090278,0.114286,0.380952,0.114286,0.619048,0.175824,0.098131,1.164626,0.887854
194,8,62,12,132,0.083333,0.114286,0.4,0.114286,0.6,0.177778,0.093458,1.222857,0.888425
195,8,62,11,133,0.076389,0.114286,0.421053,0.114286,0.578947,0.179775,0.088785,1.287218,0.896792
196,8,62,10,134,0.069444,0.114286,0.444444,0.114286,0.555556,0.181818,0.084112,1.35873,0.89744
197,7,63,10,134,0.069444,0.1,0.411765,0.1,0.588235,0.16092,0.079439,1.258824,0.902329
198,7,63,9,135,0.0625,0.1,0.4375,0.1,0.5625,0.162791,0.074766,1.3375,0.906538
199,7,63,8,136,0.055556,0.1,0.466667,0.1,0.533333,0.164706,0.070093,1.426667,0.909716
200,7,63,7,137,0.048611,0.1,0.5,0.1,0.5,0.166667,0.065421,1.528571,0.917236
201,6,64,7,137,0.048611,0.085714,0.461538,0.085714,0.538462,0.144578,0.060748,1.410989,0.917375
202,5,65,7,137,0.048611,0.071429,0.416667,0.071429,0.583333,0.121951,0.056075,1.27381,0.91947
203,4,66,7,137,0.048611,0.057143,0.363636,0.057143,0.636364,0.098765,0.051402,1.111688,0.920549
204,3,67,7,137,0.048611,0.042857,0.3,0.042857,0.7,0.075,0.046729,0.917143,0.921476
205,3,67,6,138,0.041667,0.042857,0.333333,0.042857,0.666667,0.075949,0.042056,1.019048,0.92551
206,2,68,6,138,0.041667,0.028571,0.25,0.028571,0.75,0.051282,0.037383,0.764286,0.928208
207,2,68,5,139,0.034722,0.028571,0.285714,0.028571,0.714286,0.051948,0.03271,0.873469,0.931315
208,2,68,4,140,0.027778,0.028571,0.333333,0.028571,0.666667,0.052632,0.028037,1.019048,0.932212
209,2,68,3,141,0.020833,0.028571,0.4,0.028571,0.6,0.053333,0.023364,1.222857,0.940397
210,2,68,2,142,0.013889,0.028571,0.5,0.028571,0.5,0.054054,0.018692,1.528571,0.973036
211,1,69,2,142,0.013889,0.014286,0.333333,0.014286,0.666667,0.027397,0.014019,?,0.976229
212,1,69,1,143,0.006944,0.014286,0.5,0.014286,0.5,0.027778,0.009346,?,0.984817
213,0,70,1,143,0.006944,0,0,0,1,0,0.004673,?,0.991804
